Temperatur_K,Druck_bar,Lambda,Phi,EGR_Rate,Zuendverzug_s
700.0,30.0,0.8,1.25,0.0,0.0027870164691772047
700.0,30.0,0.8,1.25,0.09999999999999999,7.760527417789496e-18
700.0,30.0,0.8,1.25,0.19999999999999998,5.845178631608931e-18
700.0,30.0,0.8,1.25,0.3,5.123631298354161e-18
700.0,30.0,0.8,1.25,0.39999999999999997,4.812783718280626e-18
700.0,30.0,0.8,1.25,0.49999999999999994,4.735124202798885e-18
700.0,30.0,0.8,1.25,0.6,4.85266580492e-18
700.0,30.0,1.2666666666666666,0.7894736842105263,0.0,0.0032532967540442686
700.0,30.0,1.2666666666666666,0.7894736842105263,0.09999999999999999,9.72759994269322e-18
700.0,30.0,1.2666666666666666,0.7894736842105263,0.19999999999999998,7.317640827540446e-18
700.0,30.0,1.2666666666666666,0.7894736842105263,0.3,6.406454881710745e-18
700.0,30.0,1.2666666666666666,0.7894736842105263,0.39999999999999997,6.010497822780541e-18
700.0,30.0,1.2666666666666666,0.7894736842105263,0.49999999999999994,5.906457782961108e-18
700.0,30.0,1.2666666666666666,0.7894736842105263,0.6,6.045956497360231e-18
700.0,30.0,1.7333333333333334,0.5769230769230769,0.0,0.0042460515961886105
700.0,30.0,1.7333333333333334,0.5769230769230769,0.09999999999999999,1.1358988312693484e-17
700.0,30.0,1.7333333333333334,0.5769230769230769,0.19999999999999998,8.53988415181119e-18
700.0,30.0,1.7333333333333334,0.5769230769230769,0.3,7.472197174949043e-18
700.0,30.0,1.7333333333333334,0.5769230769230769,0.39999999999999997,7.006374314604675e-18
700.0,30.0,1.7333333333333334,0.5769230769230769,0.49999999999999994,6.8812125288986644e-18
700.0,30.0,1.7333333333333334,0.5769230769230769,0.6,7.039802164954984e-18
700.0,30.0,2.2,0.45454545454545453,0.0,0.0069754551870689786
700.0,30.0,2.2,0.45454545454545453,0.09999999999999999,1.2783858194251413e-17
700.0,30.0,2.2,0.45454545454545453,0.19999999999999998,9.607880899127806e-18
700.0,30.0,2.2,0.45454545454545453,0.3,8.403856084633853e-18
700.0,30.0,2.2,0.45454545454545453,0.39999999999999997,7.87733952518581e-18
700.0,30.0,2.2,0.45454545454545453,0.49999999999999994,7.734075781490767e-18
700.0,30.0,2.2,0.45454545454545453,0.6,7.909743300223934e-18
700.0,30.0,2.666666666666667,0.37499999999999994,0.0,0.012968049322569635
700.0,30.0,2.666666666666667,0.37499999999999994,0.09999999999999999,1.4065114474242672e-17
700.0,30.0,2.666666666666667,0.37499999999999994,0.19999999999999998,1.05684970273589e-17
700.0,30.0,2.666666666666667,0.37499999999999994,0.3,9.242070307088043e-18
700.0,30.0,2.666666666666667,0.37499999999999994,0.39999999999999997,8.661158984440658e-18
700.0,30.0,2.666666666666667,0.37499999999999994,0.49999999999999994,8.501809837899936e-18
700.0,30.0,2.666666666666667,0.37499999999999994,0.6,8.693058358780868e-18
700.0,30.0,3.1333333333333337,0.3191489361702127,0.0,0.023541709956949517
700.0,30.0,3.1333333333333337,0.3191489361702127,0.09999999999999999,1.5239024247515732e-17
700.0,30.0,3.1333333333333337,0.3191489361702127,0.19999999999999998,1.1448793974160026e-17
700.0,30.0,3.1333333333333337,0.3191489361702127,0.3,1.0010341154580068e-17
700.0,30.0,3.1333333333333337,0.3191489361702127,0.39999999999999997,9.379705321195313e-18
700.0,30.0,3.1333333333333337,0.3191489361702127,0.49999999999999994,9.205738039167862e-18
700.0,30.0,3.1333333333333337,0.3191489361702127,0.6,
700.0,30.0,3.5999999999999996,0.2777777777777778,0.0,0.03963895182206477
700.0,30.0,3.5999999999999996,0.2777777777777778,0.09999999999999999,1.6328756072009706e-17
700.0,30.0,3.5999999999999996,0.2777777777777778,0.19999999999999998,1.2266076695840109e-17
700.0,30.0,3.5999999999999996,0.2777777777777778,0.3,1.0723711880734227e-17
700.0,30.0,3.5999999999999996,0.2777777777777778,0.39999999999999997,1.0046993026331913e-17
700.0,30.0,3.5999999999999996,0.2777777777777778,0.49999999999999994,
700.0,30.0,3.5999999999999996,0.2777777777777778,0.6,
700.0,30.0,4.066666666666666,0.24590163934426232,0.0,0.06184655061743367
700.0,30.0,4.066666666666666,0.24590163934426232,0.09999999999999999,1.7350178376662745e-17
700.0,30.0,4.066666666666666,0.24590163934426232,0.19999999999999998,1.303220593582302e-17
700.0,30.0,4.066666666666666,0.24590163934426232,0.3,1.139250029497131e-17
700.0,30.0,4.066666666666666,0.24590163934426232,0.39999999999999997,
700.0,30.0,4.066666666666666,0.24590163934426232,0.49999999999999994,
700.0,30.0,4.066666666666666,0.24590163934426232,0.6,
700.0,30.0,4.533333333333333,0.22058823529411764,0.0,0.09044677866524775
700.0,30.0,4.533333333333333,0.22058823529411764,0.09999999999999999,1.831472370921377e-17
700.0,30.0,4.533333333333333,0.22058823529411764,0.19999999999999998,1.3755731372746774e-17
700.0,30.0,4.533333333333333,0.22058823529411764,0.3,
700.0,30.0,4.533333333333333,0.22058823529411764,0.39999999999999997,
700.0,30.0,4.533333333333333,0.22058823529411764,0.49999999999999994,
700.0,30.0,4.533333333333333,0.22058823529411764,0.6,
700.0,30.0,5.0,0.2,0.0,0.12549562395082997
700.0,30.0,5.0,0.2,0.09999999999999999,1.9230952118594095e-17
700.0,30.0,5.0,0.2,0.19999999999999998,
700.0,30.0,5.0,0.2,0.3,
700.0,30.0,5.0,0.2,0.39999999999999997,
700.0,30.0,5.0,0.2,0.49999999999999994,
700.0,30.0,5.0,0.2,0.6,
700.0,50.0,0.8,1.25,0.0,0.0017853789813481694
700.0,50.0,0.8,1.25,0.09999999999999999,6.0112786893769536e-18
700.0,50.0,0.8,1.25,0.19999999999999998,4.527655899165769e-18
700.0,50.0,0.8,1.25,0.3,3.96874773812655e-18
700.0,50.0,0.8,1.25,0.39999999999999997,3.727966237959814e-18
700.0,50.0,0.8,1.25,0.49999999999999994,3.6678114359327506e-18
700.0,50.0,0.8,1.25,0.6,3.758858769433074e-18
700.0,50.0,1.2666666666666666,0.7894736842105263,0.0,0.002101900519549921
700.0,50.0,1.2666666666666666,0.7894736842105263,0.09999999999999999,7.53496651532381e-18
700.0,50.0,1.2666666666666666,0.7894736842105263,0.19999999999999998,5.668220211718321e-18
700.0,50.0,1.2666666666666666,0.7894736842105263,0.3,4.962418613018983e-18
700.0,50.0,1.2666666666666666,0.7894736842105263,0.39999999999999997,4.655711594008995e-18
700.0,50.0,1.2666666666666666,0.7894736842105263,0.49999999999999994,4.575122525697111e-18
700.0,50.0,1.2666666666666666,0.7894736842105263,0.6,4.683177765234139e-18
700.0,50.0,1.7333333333333334,0.5769230769230769,0.0,0.0028416538535583646
700.0,50.0,1.7333333333333334,0.5769230769230769,0.09999999999999999,8.798634512965309e-18
700.0,50.0,1.7333333333333334,0.5769230769230769,0.19999999999999998,6.614965819701077e-18
700.0,50.0,1.7333333333333334,0.5769230769230769,0.3,5.78793904363115e-18
700.0,50.0,1.7333333333333334,0.5769230769230769,0.39999999999999997,5.427114207551863e-18
700.0,50.0,1.7333333333333334,0.5769230769230769,0.49999999999999994,5.3301643052276694e-18
700.0,50.0,1.7333333333333334,0.5769230769230769,0.6,5.4530073090931145e-18
700.0,50.0,2.2,0.45454545454545453,0.0,0.0048571838236931
700.0,50.0,2.2,0.45454545454545453,0.09999999999999999,9.90233397732259e-18
700.0,50.0,2.2,0.45454545454545453,0.19999999999999998,7.442232542933267e-18
700.0,50.0,2.2,0.45454545454545453,0.3,6.509598931942155e-18
700.0,50.0,2.2,0.45454545454545453,0.39999999999999997,6.1017609586932184e-18
700.0,50.0,2.2,0.45454545454545453,0.49999999999999994,5.990789340003969e-18
700.0,50.0,2.2,0.45454545454545453,0.6,6.1268608149085966e-18
700.0,50.0,2.666666666666667,0.37499999999999994,0.0,0.00918246998701166
700.0,50.0,2.666666666666667,0.37499999999999994,0.09999999999999999,1.0894790824248551e-17
700.0,50.0,2.666666666666667,0.37499999999999994,0.19999999999999998,8.186322596280723e-18
700.0,50.0,2.666666666666667,0.37499999999999994,0.3,7.158876876766012e-18
700.0,50.0,2.666666666666667,0.37499999999999994,0.39999999999999997,6.708904901118683e-18
700.0,50.0,2.666666666666667,0.37499999999999994,0.49999999999999994,6.585473582961764e-18
700.0,50.0,2.666666666666667,0.37499999999999994,0.6,6.7336140502334956e-18
700.0,50.0,3.1333333333333337,0.3191489361702127,0.0,0.016703412341991093
700.0,50.0,3.1333333333333337,0.3191489361702127,0.09999999999999999,1.1804097424615886e-17
700.0,50.0,3.1333333333333337,0.3191489361702127,0.19999999999999998,8.868197679216322e-18
700.0,50.0,3.1333333333333337,0.3191489361702127,0.3,7.753976916308667e-18
700.0,50.0,3.1333333333333337,0.3191489361702127,0.39999999999999997,7.265488500264508e-18
700.0,50.0,3.1333333333333337,0.3191489361702127,0.49999999999999994,7.13073402304905e-18
700.0,50.0,3.1333333333333337,0.3191489361702127,0.6,
700.0,50.0,3.5999999999999996,0.2777777777777778,0.0,0.02806555785495916
700.0,50.0,3.5999999999999996,0.2777777777777778,0.09999999999999999,1.2648200066235363e-17
700.0,50.0,3.5999999999999996,0.2777777777777778,0.19999999999999998,9.501262153258329e-18
700.0,50.0,3.5999999999999996,0.2777777777777778,0.3,8.306551504722055e-18
700.0,50.0,3.5999999999999996,0.2777777777777778,0.39999999999999997,7.782367334089112e-18
