# Crank Angle (4-stroke)	mm
0.0	0.0
1.0	0.002394685
2.0	0.010877365
3.0	0.020502366
4.0	0.031270162
5.0	0.043264956
6.0	0.056939609
7.0	0.072947906
8.0	0.091927103
9.0	0.114229361
10.0	0.139875898
11.0	0.168847766
12.0	0.201128343
13.0	0.23670306
14.0	0.275559688
15.0	0.317688055
16.0	0.363080292
17.0	0.41173077
18.0	0.463635917
19.0	0.518794485
20.0	0.577207442
21.0	0.638877899
22.0	0.703811167
23.0	0.772014814
24.0	0.843498221
25.0	0.918274029
26.0	0.996356036
27.0	1.077760644
28.0	1.162506151
29.0	1.250613758
30.0	1.342106066
31.0	1.437008373
32.0	1.535348081
33.0	1.637154788
34.0	1.742454495
35.0	1.851114603
36.0	1.96260111
37.0	2.076251617
38.0	2.191413425
39.0	2.307643032
40.0	2.42486274
41.0	2.543072547
42.0	2.662272154
43.0	2.782462062
44.0	2.903641669
45.0	3.025811477
46.0	3.148971384
47.0	3.273120891
48.0	3.398260799
49.0	3.524390606
50.0	3.651510413
51.0	3.779620121
52.0	3.908720028
53.0	4.038782636
54.0	4.169595443
55.0	4.30077705
56.0	4.431930158
57.0	4.562654765
58.0	4.692552272
59.0	4.82123798
60.0	4.948475087
61.0	5.074205695
62.0	5.198397902
63.0	5.321019009
64.0	5.442038917
65.0	5.561426624
66.0	5.679151432
67.0	5.795184539
68.0	5.909496246
69.0	6.022059454
70.0	6.132845161
71.0	6.241826268
72.0	6.348976676
73.0	6.454270483
74.0	6.557681591
75.0	6.659185698
76.0	6.758757805
77.0	6.856374513
78.0	6.95201302
79.0	7.045650128
80.0	7.137265235
81.0	7.226835342
82.0	7.31434045
83.0	7.399759557
84.0	7.483074664
85.0	7.564264772
86.0	7.643312479
87.0	7.720199687
88.0	7.794908694
89.0	7.867423201
90.0	7.937726709
91.0	8.005803416
92.0	8.071638523
93.0	8.135218631
94.0	8.196528738
95.0	8.255554846
96.0	8.312285953
97.0	8.36671006
98.0	8.418813168
99.0	8.468586275
100.0	8.516018383
101.0	8.56110049
102.0	8.603821597
103.0	8.644175705
104.0	8.682152812
105.0	8.717745919
106.0	8.750948027
107.0	8.781753134
108.0	8.810154242
109.0	8.836148349
110.0	8.859729456
111.0	8.880894064
112.0	8.899638671
113.0	8.915959779
114.0	8.929855886
115.0	8.941324993
116.0	8.950365101
117.0	8.956978208
118.0	8.961210315
119.0	8.963419423
120.0	8.96424253
121.0	8.964340638
122.0	8.964261745
123.0	8.964177852
124.0	8.96409396
125.0	8.964010067
126.0	8.963926174
127.0	8.963842282
128.0	8.963758389
129.0	8.963674497
130.0	8.963590604
131.0	8.963506711
132.0	8.963422819
133.0	8.963338926
134.0	8.963255034
135.0	8.963171141
136.0	8.963087248
137.0	8.963003356
138.0	8.962919463
139.0	8.96283557
140.0	8.962751678
141.0	8.962667785
142.0	8.962583893
143.0	8.9625
144.0	8.962416107
145.0	8.962332215
146.0	8.962248322
147.0	8.96216443
148.0	8.962080537
149.0	8.961996644
150.0	8.961912752
151.0	8.961828859
152.0	8.961744966
153.0	8.961661074
154.0	8.961577181
155.0	8.961492289
156.0	8.961391396
157.0	8.961078503
158.0	8.960123611
159.0	8.958061718
160.0	8.954428826
161.0	8.948776933
162.0	8.94086004
163.0	8.930652148
164.0	8.918152255
165.0	8.903362362
166.0	8.88628447
167.0	8.866920577
168.0	8.845274185
169.0	8.821348792
170.0	8.795146899
171.0	8.766676007
172.0	8.735939114
173.0	8.702944221
174.0	8.667695329
175.0	8.630200436
176.0	8.590468544
177.0	8.548506651
178.0	8.504322758
179.0	8.457926866
180.0	8.409329973
181.0	8.358541081
182.0	8.305572188
183.0	8.250434295
184.0	8.193139403
185.0	8.13370251
186.0	8.072134617
187.0	8.008450725
188.0	7.942663832
189.0	7.87479154
190.0	7.804848547
191.0	7.732851154
192.0	7.658815862
193.0	7.582760869
194.0	7.504703477
195.0	7.424663184
196.0	7.342658691
197.0	7.258709099
198.0	7.172835906
199.0	7.085060013
200.0	6.995402121
201.0	6.903884628
202.0	6.810530336
203.0	6.715362843
204.0	6.61840555
205.0	6.519683258
206.0	6.419220365
207.0	6.317042872
208.0	6.21317698
209.0	6.107649787
210.0	6.000487895
211.0	5.891719302
212.0	5.781372709
213.0	5.669477517
