Crank Angle (4-stroke)	mm
0.0	0.0
1.0	0.002970277
2.0	0.008970162
3.0	0.015334798
4.0	0.022060188
5.0	0.029172942
6.0	0.036735671
7.0	0.04485108
8.0	0.053663062
9.0	0.06335352
10.0	0.074135065
11.0	0.086241342
12.0	0.099917591
13.0	0.115413169
14.0	0.132976793
15.0	0.152853446
16.0	0.17528206
17.0	0.200492964
18.0	0.228705226
19.0	0.260123118
20.0	0.294931442
21.0	0.333288634
22.0	0.375315021
23.0	0.421080291
24.0	0.470609247
25.0	0.523910506
26.0	0.580991447
27.0	0.64185995
28.0	0.706524014
29.0	0.774990835
30.0	0.847266622
31.0	0.92335675
32.0	1.003263946
33.0	1.086988821
34.0	1.174527676
35.0	1.265871067
36.0	1.360997628
37.0	1.459860055
38.0	1.562354984
39.0	1.668299619
40.0	1.7774642
41.0	1.889609787
42.0	2.004494298
43.0	2.121874795
44.0	2.241507612
45.0	2.363150425
46.0	2.486562808
47.0	2.611505535
48.0	2.737743396
49.0	2.865044059
50.0	2.99318168
51.0	3.121937081
52.0	3.251100914
53.0	3.38047541
54.0	3.509878141
55.0	3.6391427
56.0	3.768121411
57.0	3.896684258
58.0	4.024718637
59.0	4.152126622
60.0	4.278823419
61.0	4.40473301
62.0	4.529788569
63.0	4.653927858
64.0	4.777092573
65.0	4.899228074
66.0	5.020280877
67.0	5.140198968
68.0	5.258931355
69.0	5.376427612
70.0	5.492638279
71.0	5.607516258
72.0	5.721013763
73.0	5.833086258
74.0	5.943690269
75.0	6.052783202
76.0	6.160324887
77.0	6.266276123
78.0	6.370599486
79.0	6.473258531
80.0	6.574218906
81.0	6.673446423
82.0	6.770908354
83.0	6.866573963
84.0	6.960413368
85.0	7.052396403
86.0	7.142494296
87.0	7.230680061
88.0	7.316926444
89.0	7.401207875
90.0	7.483499154
91.0	7.563775341
92.0	7.64201286
93.0	7.718189287
94.0	7.792281462
95.0	7.864268483
96.0	7.934128594
97.0	8.001842619
98.0	8.067389666
99.0	8.130750553
100.0	8.19190824
101.0	8.250843767
102.0	8.307540355
103.0	8.361980042
104.0	8.414148349
105.0	8.464030456
106.0	8.511608183
107.0	8.55686905
108.0	8.599800497
109.0	8.640386824
110.0	8.678616811
111.0	8.714479118
112.0	8.747958865
113.0	8.779047972
114.0	8.807733999
115.0	8.834008426
116.0	8.857860993
117.0	8.879282
118.0	8.898265187
119.0	8.914802254
120.0	8.928883541
121.0	8.940504228
122.0	8.949656655
123.0	8.956337742
124.0	8.960540049
125.0	8.962260056
126.0	8.961492764
127.0	8.958234211
128.0	8.952483138
129.0	8.944237025
130.0	8.933492392
131.0	8.920248279
132.0	8.904505386
133.0	8.886261493
134.0	8.8655179
135.0	8.842277527
136.0	8.816538674
137.0	8.788304121
138.0	8.757578088
139.0	8.724363095
140.0	8.688662882
141.0	8.650481489
142.0	8.609825136
143.0	8.566698343
144.0	8.52110789
145.0	8.473061477
146.0	8.422564664
147.0	8.369627191
148.0	8.314258058
149.0	8.256466265
150.0	8.196261593
151.0	8.13365604
152.0	8.068660567
153.0	8.001285774
154.0	7.931547581
155.0	7.859457028
156.0	7.785029155
157.0	7.708280662
158.0	7.629225589
159.0	7.547881274
160.0	7.464265627
161.0	7.378396306
162.0	7.290293359
163.0	7.199977128
164.0	7.107469369
165.0	7.012792646
166.0	6.915971105
167.0	6.817030264
168.0	6.715996241
169.0	6.612897946
170.0	6.507764349
171.0	6.40062762
172.0	6.291520287
173.0	6.180477314
174.0	6.067535481
175.0	5.952733997
176.0	5.836113752
177.0	5.717718695
178.0	5.59759403
179.0	5.475789165
180.0	5.35235514
181.0	5.227346709
182.0	5.100821838
183.0	4.972842567
184.0	4.843474312
185.0	4.712785415
186.0	4.58085071
187.0	4.447750333
188.0	4.3135688
189.0	4.178397045
190.0	4.042332604
191.0	3.905481483
192.0	3.767958334
193.0	3.629888035
194.0	3.491406804
195.0	3.352665419
196.0	3.21383027
197.0	3.075085261
198.0	2.936634722
199.0	2.79870416
200.0	2.661542829
201.0	2.525425794
202.0	2.390655637
203.0	2.257564652
204.0	2.126512241
205.0	1.997883452
206.0	1.872079987
207.0	1.749506828
208.0	1.630554301
209.0	1.515578152
210.0	1.404884017
211.0	1.298721626
212.0	1.197288679
213.0	1.10073889
214.0	1.009186433
215.0	0.92271085
216.0	0.841359059
217.0	0.765148032
218.0	0.694065563
219.0	0.628068998
220.0	0.567090922
221.0	0.511034274
222.0	0.459773177
223.0	0.413151521
224.0	0.370981355
225.0	0.333041765
226.0	0.299080522
227.0	0.268817335
228.0	0.241948334
229.0	0.218150968
230.0	0.19709032
231.0	0.178425849
232.0	0.161819125
233.0	0.146941945
234.0	0.13348485
235.0	0.121165549
236.0	0.1097369
237.0	0.098991978
238.0	0.088763691
239.0	0.078921562
240.0	0.069368155
241.0	0.060035763
242.0	0.050883098
243.0	0.041892045
244.0	0.033064587
245.0	0.024419763
246.0	0.015990708
247.0	0.007821842
248.0	0.0
	
theta_deg_in	lift_ex_mm
0	0
1	0.002970277
2	0.008970162
3	0.015334798
4	0.022060188
5	0.029172942
6	0.036735671
7	0.04485108
8	0.053663062
9	0.06335352
10	0.074135065
11	0.086241342
12	0.099917591
13	0.115413169
14	0.132976793
15	0.152853446
16	0.17528206
17	0.200492964
18	0.228705226
19	0.260123118
20	0.294931442
21	0.333288634
22	0.375315021
23	0.421080291
24	0.470609247
25	0.523910506
26	0.580991447
27	0.64185995
28	0.706524014
29	0.774990835
30	0.847266622
31	0.92335675
32	1.003263946
33	1.086988821
34	1.174527676
35	1.265871067
36	1.360997628
37	1.459860055
38	1.562354984
39	1.668299619
40	1.7774642
41	1.889609787
42	2.004494298
43	2.121874795
44	2.241507612
45	2.363150425
46	2.486562808
47	2.611505535
48	2.737743396
49	2.865044059
50	2.99318168
51	3.121937081
52	3.251100914
53	3.38047541
54	3.509878141
55	3.6391427
56	3.768121411
57	3.896684258
58	4.024718637
59	4.152126622
60	4.278823419
61	4.40473301
62	4.529788569
63	4.653927858
64	4.777092573
65	4.899228074
66	5.020280877
67	5.140198968
68	5.258931355
69	5.376427612
70	5.492638279
71	5.607516258
72	5.721013763
73	5.833086258
74	5.943690269
75	6.052783202
76	6.160324887
77	6.266276123
78	6.370599486
79	6.473258531
80	6.574218906
81	6.673446423
82	6.770908354
83	6.866573963
84	6.960413368
85	7.052396403
86	7.142494296
87	7.230680061
88	7.316926444
89	7.401207875
90	7.483499154
91	7.563775341
92	7.64201286
93	7.718189287
94	7.792281462
95	7.864268483
96	7.934128594
97	8.001842619
98	8.067389666
99	8.130750553
100	8.19190824
101	8.250843767
102	8.307540355
103	8.361980042
104	8.414148349
105	8.464030456
106	8.511608183
107	8.55686905
108	8.599800497
109	8.640386824
110	8.678616811
111	8.714479118
112	8.747958865
113	8.779047972
114	8.807733999
115	8.834008426
116	8.857860993
117	8.879282
118	8.898265187
119	8.914802254
120	8.928883541
121	8.940504228
122	8.949656655
123	8.956337742
124	8.960540049
125	8.962260056
126	8.961492764
127	8.958234211
128	8.952483138
129	8.944237025
130	8.933492392
131	8.920248279
132	8.904505386
133	8.886261493
134	8.8655179
135	8.842277527
136	8.816538674
137	8.788304121
138	8.757578088
139	8.724363095
140	8.688662882
141	8.650481489
142	8.609825136
143	8.566698343
144	8.52110789
145	8.473061477
146	8.422564664
147	8.369627191
148	8.314258058
149	8.256466265
150	8.196261593
151	8.13365604
152	8.068660567
153	8.001285774
154	7.931547581
155	7.859457028
156	7.785029155
157	7.708280662
158	7.629225589
159	7.547881274
160	7.464265627
161	7.378396306
162	7.290293359
163	7.199977128
164	7.107469369
165	7.012792646
166	6.915971105
167	6.817030264
168	6.715996241
169	6.612897946
170	6.507764349
171	6.40062762
172	6.291520287
173	6.180477314
174	6.067535481
175	5.952733997
176	5.836113752
177	5.717718695
178	5.59759403
179	5.475789165
180	5.35235514
181	5.227346709
182	5.100821838
183	4.972842567
184	4.843474312
185	4.712785415
186	4.58085071
187	4.447750333
188	4.3135688
189	4.178397045
190	4.042332604
191	3.905481483
192	3.767958334
193	3.629888035
194	3.491406804
195	3.352665419
196	3.21383027
197	3.075085261
198	2.936634722
199	2.79870416
200	2.661542829
201	2.525425794
202	2.390655637
203	2.257564652
204	2.126512241
205	1.997883452
206	1.872079987
207	1.749506828
208	1.630554301
209	1.515578152
210	1.404884017
211	1.298721626
212	1.197288679
213	1.10073889
214	1.009186433
215	0.92271085
216	0.841359059
217	0.765148032
218	0.694065563
219	0.628068998
220	0.567090922
221	0.511034274
222	0.459773177
223	0.413151521
224	0.370981355
225	0.333041765
226	0.299080522
227	0.268817335
228	0.241948334
229	0.218150968
230	0.19709032
231	0.178425849
232	0.161819125
233	0.146941945
234	0.13348485
235	0.121165549
236	0.1097369
237	0.098991978
238	0.088763691
239	0.078921562
240	0.069368155
241	0.060035763
242	0.050883098
243	0.041892045
244	0.033064587
245	0.024419763
246	0.015990708
247	0.007821842
248	0
