# theta_deg_in  	lift_in_mm
0	0
1	0.002394685
2	0.010877365
3	0.020502366
4	0.031270162
5	0.043264956
6	0.056939609
7	0.072947906
8	0.091927103
9	0.114229361
10	0.139875898
11	0.168847766
12	0.201128343
13	0.23670306
14	0.275559688
15	0.317688055
16	0.363080292
17	0.41173077
18	0.463635917
19	0.518794485
20	0.577207442
21	0.638877899
22	0.703811167
23	0.772014814
24	0.843498221
25	0.918274029
26	0.996356036
27	1.077760644
28	1.162506151
29	1.250613758
30	1.342106066
31	1.437008373
32	1.535348081
33	1.637154788
34	1.742454495
35	1.851114603
36	1.96260111
37	2.076251617
38	2.191413425
39	2.307643032
40	2.42486274
41	2.543072547
42	2.662272154
43	2.782462062
44	2.903641669
45	3.025811477
46	3.148971384
47	3.273120891
48	3.398260799
49	3.524390606
50	3.651510413
51	3.779620121
52	3.908720028
53	4.038782636
54	4.169595443
55	4.30077705
56	4.431930158
57	4.562654765
58	4.692552272
59	4.82123798
60	4.948475087
61	5.074205695
62	5.198397902
63	5.321019009
64	5.442038917
65	5.561426624
66	5.679151432
67	5.795184539
68	5.909496246
69	6.022059454
70	6.132845161
71	6.241826268
72	6.348976676
73	6.454270483
74	6.557681591
75	6.659185698
76	6.758757805
77	6.856374513
78	6.95201302
79	7.045650128
80	7.137265235
81	7.226835342
82	7.31434045
83	7.399759557
84	7.483074664
85	7.564264772
86	7.643312479
87	7.720199687
88	7.794908694
89	7.867423201
90	7.937726709
91	8.005803416
92	8.071638523
93	8.135218631
94	8.196528738
95	8.255554846
96	8.312285953
97	8.36671006
98	8.418813168
99	8.468586275
100	8.516018383
101	8.56110049
102	8.603821597
103	8.644175705
104	8.682152812
105	8.717745919
106	8.750948027
107	8.781753134
108	8.810154242
109	8.836148349
110	8.859729456
111	8.880894064
112	8.899638671
113	8.915959779
114	8.929855886
115	8.941324993
116	8.950365101
117	8.956978208
118	8.961210315
119	8.963419423
120	8.96424253
121	8.964340638
122	8.964261745
123	8.964177852
124	8.96409396
125	8.964010067
126	8.963926174
127	8.963842282
128	8.963758389
129	8.963674497
130	8.963590604
131	8.963506711
132	8.963422819
133	8.963338926
134	8.963255034
135	8.963171141
136	8.963087248
137	8.963003356
138	8.962919463
139	8.96283557
140	8.962751678
141	8.962667785
142	8.962583893
143	8.9625
144	8.962416107
145	8.962332215
146	8.962248322
147	8.96216443
148	8.962080537
149	8.961996644
150	8.961912752
151	8.961828859
152	8.961744966
153	8.961661074
154	8.961577181
155	8.961492289
156	8.961391396
157	8.961078503
158	8.960123611
159	8.958061718
160	8.954428826
161	8.948776933
162	8.94086004
163	8.930652148
164	8.918152255
165	8.903362362
166	8.88628447
167	8.866920577
168	8.845274185
169	8.821348792
170	8.795146899
171	8.766676007
172	8.735939114
173	8.702944221
174	8.667695329
175	8.630200436
176	8.590468544
177	8.548506651
178	8.504322758
179	8.457926866
180	8.409329973
181	8.358541081
182	8.305572188
183	8.250434295
184	8.193139403
185	8.13370251
186	8.072134617
187	8.008450725
188	7.942663832
189	7.87479154
190	7.804848547
191	7.732851154
192	7.658815862
193	7.582760869
194	7.504703477
195	7.424663184
196	7.342658691
197	7.258709099
198	7.172835906
199	7.085060013
200	6.995402121
201	6.903884628
202	6.810530336
203	6.715362843
204	6.61840555
205	6.519683258
206	6.419220365
207	6.317042872
208	6.21317698
209	6.107649787
210	6.000487895
211	5.891719302
212	5.781372709
213	5.669477517
214	5.556062924
215	5.441158932
216	5.324797439
217	5.207008646
218	5.087824654
219	4.967278861
220	4.845403568
221	4.722232776
222	4.597800483
223	4.472142191
224	4.345293098
225	4.217288505
226	4.088166313
227	3.95796262
228	3.826715628
229	3.694463635
230	3.561245642
231	3.42711705
232	3.292259957
233	3.156965564
234	3.021538772
235	2.886287879
236	2.751522687
237	2.617557694
238	2.484708701
239	2.353295309
240	2.223639716
241	2.096067223
242	1.970905831
243	1.848486338
244	1.729142646
245	1.613211853
246	1.50103306
247	1.392949168
248	1.289305675
249	1.190433383
250	1.09648429
251	1.007403897
252	0.923105155
253	0.843511112
254	0.768544019
255	0.698128167
256	0.632190264
257	0.570658742
258	0.513464309
259	0.460539656
260	0.411819734
261	0.367241371
262	0.326743619
263	0.290267606
264	0.257756493
265	0.229155531
266	0.204410478
267	0.183390335
268	0.165696123
269	0.15080125
270	0.138174038
271	0.127282835
272	0.117595992
273	0.10858242
274	0.099764747
275	0.090954214
276	0.082143682
277	0.073333129
278	0.064522597
279	0.055712054
280	0.046901511
281	0.038090959
282	0.029280426
283	0.020469884
284	0.011659336
285	0.002848794
286	0
	
